cox_hazard_ratio,cure_odds_ratio,cure_hazard_ratio,sample_size,hazard_rate,cure_fraction,max_unif
0.32829682901011675,6.789166285515872,1.3378809483999416,10,1,0,1
1.4434875289811708,0.004919442474516156,0.2673377959353413,10,1,0.2,1
0.11543078822160191,2.0481570274833807,0.11451100057961393,10,1,0.5,1
0.4937756113407393,0.0061750603865535405,0.05456401395200001,10,1,0.8,1
0.8474332317291977,1002.7655325234243,42.99901164517535,10,1.5,0,1
0.7752833071316737,0.006206300180431556,0.2087589727546318,10,1.5,0.2,1
0.36530773007492867,7.830156694533232,0.7808085746994772,10,1.5,0.5,1
0.7621404991863774,1.1075707584423387,0.5685467381435519,10,1.5,0.8,1
1.664847077388819,0.030805871074487786,1.64836715844592,10,2,0,1
2.237934693582991,0.3795421431697453,1.2539587083499113,10,2,0.2,1
0.4489190701592091,230.1542688521136,23.590224990181888,10,2,0.5,1
0.4887996830855279,1199.9348478853385,10.004549794189465,10,2,0.8,1
6.369713484894821,125.12422916111545,13.46142899777342,10,5,0,1
5.968721742813278,0.05356295903431597,0.4532933930176963,10,5,0.2,1
1.6009364631065595,0.8236689051431133,3.1525297322858488,10,5,0.5,1
0.35040681298726617,10161.911021145805,12.324464363587383,10,5,0.8,1
1.1728795574722652,0.11730213579696687,1.1605747958545714,100,1,0,1
0.979271192186632,3190.4535016717773,1.7893961107115723,100,1,0.2,1
0.34480095652249726,6.800942438352109,0.34526413157939895,100,1,0.5,1
0.15233853997794777,0.008554912911471039,0.10961184574112907,100,1,0.8,1
1.3886961557508024,0.395923848615999,1.0258895096695249,100,1.5,0,1
1.293321282731961,3.0950003052884765,1.6803336157635058,100,1.5,0.2,1
0.478992980889201,641.835811585794,3.034009971389816,100,1.5,0.5,1
0.22305503728289588,13.672790646493603,0.9599474717460406,100,1.5,0.8,1
1.8359158882916753,0.08203242534587157,1.8208153132973144,100,2,0,1
1.1669975463938442,464.23475842969464,1.820454460161634,100,2,0.2,1
0.4731635699751898,861.325552707094,1.2108918211755906,100,2,0.5,1
0.17584240287585015,65.55554913455065,2.7776125595901275,100,2,0.8,1
5.2001222271707,0.01939716416180962,5.025832577763896,100,5,0,1
6.227211411033083,40.8262520566313,10.351808681586833,100,5,0.2,1
1.3671761047462607,4.207168428130782,4.507951470316288,100,5,0.5,1
0.417723722601371,558.7957884844265,3.1780320062765606,100,5,0.8,1
1.0314716785286895,2.642357638922837,1.1644283871340386,1000,1,0,1
0.7501796373417926,21.664952033291307,0.9052987574746818,1000,1,0.2,1
0.43057772617701406,1340.415243758818,0.8887111470653469,1000,1,0.5,1
0.14624433830255174,28352.80090644756,2.0601962997169325,1000,1,0.8,1
1.455680077376533,1.0860056744797673,1.5253760910339798,1000,1.5,0,1
1.0737689893430906,1.8185138281366617,1.2330882410266015,1000,1.5,0.2,1
0.5995418086223202,2383.700649413869,1.6617571819567087,1000,1.5,0.5,1
0.16218186763397074,26.05098094029306,1.1206175255539266,1000,1.5,0.8,1
2.2057314701175654,0.026907641297766266,1.9064370148537846,1000,2,0,1
1.3982463246426788,4.164434452616668,1.8558867736191038,1000,2,0.2,1
0.7871535728243999,3.081392807067914,1.273779795605097,1000,2,0.5,1
0.27387391119257526,16.83236409989577,1.8808525720183882,1000,2,0.8,1
4.8576552794009595,0.002226089830940186,4.88492987437131,1000,5,0,1
2.4346883561698687,773.1574794367906,4.612551234119335,1000,5,0.2,1
1.133042374348808,4567.145741533275,4.752976795563154,1000,5,0.5,1
0.38490754833763424,3877.435739710735,4.399745851951562,1000,5,0.8,1
